type,created_at,actor,repo,name
PullRequestReviewCommentEvent,2023-08-09 12:49:46,Yuri Prykhodko,solid-software/solid_lints,Pull changes from solid-metrics repository
PullRequestReviewEvent,2023-08-09 12:49:48,Yuri Prykhodko,solid-software/solid_lints,Pull changes from solid-metrics repository
PullRequestReviewCommentEvent,2023-08-09 12:47:54,Yuri Prykhodko,solid-software/solid_lints,Pull changes from solid-metrics repository
PullRequestReviewEvent,2023-08-09 12:47:55,Yuri Prykhodko,solid-software/solid_lints,Pull changes from solid-metrics repository
IssueCommentEvent,2023-08-09 12:47:02,Yuri Prykhodko,solid-software/solid_lints,Pull changes from solid-metrics repository
PullRequestEvent,2023-08-09 12:46:06,Yuri Prykhodko,solid-software/solid_lints,Update Dart SDK version constraints
PullRequestReviewEvent,2023-08-09 12:45:31,Yuri Prykhodko,solid-software/solid_lints,Update Dart SDK version constraints
PullRequestReviewEvent,2023-08-09 12:45:13,Yuri Prykhodko,solid-software/solid_lints,Update Dart SDK version constraints
PullRequestReviewEvent,2023-08-08 13:24:58,Yuri Prykhodko,solid-software/worklog,WLOG-361 User still exist in Administrator team table after User deleted own account
PullRequestReviewCommentEvent,2023-08-08 13:24:57,Yuri Prykhodko,solid-software/worklog,WLOG-361 User still exist in Administrator team table after User deleted own account
PullRequestReviewCommentEvent,2023-08-08 08:42:47,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-08 08:42:47,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-08 08:40:06,Yuri Prykhodko,solid-software/worklog,boolean refactor
PullRequestReviewEvent,2023-08-07 18:45:48,Yuri Prykhodko,solid-software/worklog,`InjectionContainer` refactor cherrypick
PullRequestReviewCommentEvent,2023-08-07 12:33:49,Yuri Prykhodko,solid-software/worklog,cherrypick from `payment-master`
PullRequestReviewEvent,2023-08-07 12:33:50,Yuri Prykhodko,solid-software/worklog,cherrypick from `payment-master`
PullRequestReviewCommentEvent,2023-08-07 12:12:29,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-07 12:12:30,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-04 17:30:33,Yuri Prykhodko,solid-software/worklog,Payment master worklog routes refactor
PullRequestReviewEvent,2023-08-04 17:18:29,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewCommentEvent,2023-08-04 17:18:28,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewCommentEvent,2023-08-04 17:14:27,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-04 17:14:28,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewCommentEvent,2023-08-04 16:17:41,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-04 16:17:42,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewCommentEvent,2023-08-04 16:15:17,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-04 16:15:18,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewCommentEvent,2023-08-04 16:13:03,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewEvent,2023-08-04 16:13:04,Yuri Prykhodko,solid-software/worklog,ownerId setter cherrypick
PullRequestReviewCommentEvent,2023-08-04 15:49:53,Yuri Prykhodko,solid-software/worklog,isTrialPeriodPopupVisible getter
PullRequestReviewEvent,2023-08-04 15:49:54,Yuri Prykhodko,solid-software/worklog,isTrialPeriodPopupVisible getter
PullRequestReviewEvent,2023-08-04 15:37:18,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-04 15:29:03,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-04 15:29:04,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:43:50,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:40:46,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:40:48,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:35:25,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:35:26,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:30:56,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:30:54,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:29:32,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:29:33,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:26:24,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:26:23,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:23:04,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:23:05,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:21:20,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:21:21,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewCommentEvent,2023-08-03 18:20:11,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 18:20:12,Yuri Prykhodko,solid-software/worklog,Task/Shift + Tab feature (Adaptive)
PullRequestReviewEvent,2023-08-03 15:20:12,Yuri Prykhodko,solid-software/worklog,SubscriptionPeriodSwitcher refactor
PullRequestReviewCommentEvent,2023-08-03 15:20:08,Yuri Prykhodko,solid-software/worklog,SubscriptionPeriodSwitcher refactor
PullRequestReviewEvent,2023-08-03 15:20:12,Yuri Prykhodko,solid-software/worklog,SubscriptionPeriodSwitcher refactor
